,company_name,average_salary,total_sale
0,씨제이씨지브이,"1,240만원",3286.1억원
1,롯데시네마 ,"2,039만원",2180.1억원
2,씨제이이앤엠,"5,208만원",1.3조원
3,웅진씽크빅,"3,931만원",6865억원
4,문화방송,"6,082만원",7774.6억원
5,제일기획,"11,737만원",1조원
6,한국방송공사,"6,082만원",1.5조원
7,메가박스중앙,"2,442만원",1039.7억원
8,천재교육,"4,338만원",1217.4억원
9,비상교육,"3,909만원",1677.4억원
10,이엠넷,"3,223만원",324.9억원
11,교원구몬,"2,608만원",6262.9억원
12,에코마케팅,"4,736만원",474.9억원
13,엠포스,회사없음,회사없음
14,시대고시기획시대교육,"3,410만원",257.4억원
15,에이엠피엠글로벌,"3,854만원",445.5억원
16,펑타이그레이터차이나영업소,"4,623만원",321.1억원
17,에스엠엔터테인먼트,회사없음,회사없음
18,에스비에스,"11,735만원",9098.4억원
19,미디어윌,"5,289만원",726.5억원
20,피알원,"4,434만원",322.7억원
21,프레인글로벌,"4,155만원",500.8억원
22,대학내일,"5,993만원",771.8억원
23,한국교육방송공사,"6,032만원",3444억원
24,플레이디,"4,429만원",346.8억원
25,애드쿠아인터렉티브,"4,399만원",241억원
26,차이커뮤니케이션,"4,375만원",463.4억원
27,이노션,회사없음,회사없음
28,재능교육,"4,324만원",1490.1억원
29,천재교과서,"4,581만원",2212억원
30,소셜엠씨,회사없음,회사없음
31,엣지랭크,"3,680만원",313억원
32,아메바,"4,642만원",237.3억원
33,매스씨앤지,"3,578만원",110.8억원
34,대홍기획,"6,032만원",2441.7억원
35,케이피알앤드어소시에이츠,"4,632만원",244.7억원
36,인크로스,"5,266만원",484.2억원
37,디노마드,"3,394만원",152.1억원
38,미래아이엔씨,회사없음,회사없음
39,나스미디어,"5,734만원",887.3억원
40,NE능률,"3,428만원",778.2억원
41,와이지엔터테인먼트,회사없음,회사없음
42,에이치에스애드,"3,109만원",2578.8억원
43,제이티비씨,"7,445만원",3635.3억원
44,중앙일보,"7,946만원",2673.9억원
45,아이스크림에듀,"4,605만원",1285.7억원
46,매일경제신문사,"4,980만원",2334.4억원
47,조선일보사,"6,032만원",2907.4억원
48,에이피알에이전시,"3,233만원",127.5억원
49,킨코스코리아,"3,681만원",362.1억원
50,서울문화재단,회사없음,회사없음
51,부산국제영화제,"3,478만원",138.1억원
52,인터스텔라,"4,491만원",57.7억원
53,그룹엠코리아,"5,127만원",340.1억원
54,예지솔루션,회사없음,회사없음
55,레오버넷,"4,983만원",576.6억원
56,디트라이브,"3,813만원",213억원
57,트리플하이엠,회사없음,회사없음
58,메조미디어,"5,966만원",762.1억원
59,잉글리시에그,"3,838만원",185.7억원
60,미래엔,"5,270만원",1957.3억원
61,피키캐스트,회사없음,회사없음
62,이브릿지,"3,335만원",165.1억원
63,안그라픽스,"4,017만원",98.7억원
64,케이비에스미디어,"5,541만원",2629.9억원
65,아이유노글로벌,"3,993만원",323.5억원
66,채널에이,"5,736만원",2066.9억원
67,금성출판사,"3,940만원",721.8억원
68,모비데이즈,회사없음,회사없음
69,코마스인터렉티브,"4,295만원",109.1억원
70,위블링,"4,070만원",319.9억원
71,와이티엔,"7,947만원",1374.4억원
72,마더브레인,"4,329만원",111.8억원
73,세종씨앤피,"3,684만원",254.3억원
74,메이크어스,회사없음,회사없음
75,디자인피버,"4,055만원",162.1억원
76,클콩,수집 중..,61.2억원
77,로커스,"1,772만원",3.9억원
78,한국학술정보,"3,772만원",317억원
79,덱스터스튜디오,"3,867만원",304.5억원
80,하이브,"6,032만원",5366.4억원
81,지엔앰퍼포먼스,"4,675만원",188.5억원
82,레드브릭스,"4,000만원",16.8억원
83,에델만퍼블릭릴레이션스월드와이드코리아,"3,916만원",268.7억원
84,체험,"1,928만원",회사없음1
85,비비디오코리아,"5,419만원",245.7억원
86,레뷰코퍼레이션,"4,519만원",228.2억원
87,디지털트리니티,"4,178만원",103.3억원
88,아이코닉스,"4,847만원",786.3억원
89,레인보우커뮤니케이션,"5,364만원",110.6억원
90,국제방송교류재단,회사없음,회사없음
91,현대퓨처넷,"5,932만원",339억원
92,디자인하우스,"4,558만원",240.8억원
93,더북컴퍼니,"4,308만원",262.5억원
94,엠비씨플러스,"6,032만원",1836.8억원
95,디엠씨미디어,회사없음,회사없음
96,자이언트스텝,"4,103만원",230.3억원
97,제이와이피엔터테인먼트,"6,546만원",1652.3억원
98,해법에듀,"4,055만원",417.1억원
99,북이십일,"4,752만원",348.9억원
100,에스비에스콘텐츠허브,"8,690만원",1425.4억원
101,성원애드피아,"4,455만원",885.1억원
102,한국경제티브이,"6,045만원",1161.7억원
103,동아일보사,"6,032만원",2540.3억원
104,엠디마케팅,"3,721만원",75억원
105,이든앤앨리스마케팅,"3,856만원",323억원
106,한국우편사업진흥원,"5,812만원",417.9억원
107,씨엠비대전방송,"3,377만원",4977만원
108,에스에이엠지엔터테인먼트,"4,176만원",383.7억원
109,그룹아이디디,회사없음,회사없음
110,시너지힐앤놀튼,"4,555만원",213.6억원
111,투바앤,"4,377만원",150.6억원
112,카카오엠,회사없음,회사없음
113,금솔커뮤니케이션,"3,659만원",59.9억원
114,상록에스,"2,625만원",88.3억원
115,에델만코리아,"4,765만원",238.4억원
116,서울비젼,"3,496만원",1252만원
117,한국경제신문,"6,032만원",2306.4억원
118,서울문화사,"5,025만원",298.7억원
119,아인스미디어,"4,157만원",198.1억원
120,티비더블유에이코리아,회사없음,회사없음
121,매일방송,"5,159만원",2425.5억원
122,레페리,"4,195만원",162.8억원
123,한국산업기술진흥협회,"4,559만원",193.8억원
124,동아사이언스,"4,557만원",161.7억원
125,이노브,"4,021만원",107.7억원
126,세종문화회관,회사없음,회사없음
127,승일미디어그룹,"3,223만원",105.6억원
128,예술의전당,회사없음,회사없음
129,교학사,"2,723만원",329.1억원
130,지학사,"4,226만원",415.1억원
131,지우컴퍼니,회사없음,회사없음
132,키스톤마케팅컴퍼니,"4,211만원",133.2억원
133,상화,"4,889만원",118.9억원
134,예림당,"4,719만원",158.7억원
135,와이비엠,"4,336만원",1164.1억원
136,동심,회사없음,회사없음
137,바른컴퍼니,회사없음,회사없음
138,양유,"3,824만원",49억원
139,삼성출판사,"3,403만원",562.2억원
140,머니투데이,"6,032만원",687.7억원
141,비욘드마케팅그룹,"3,647만원",225.5억원
142,모티브플럭스인터렉티브,"3,975만원",24억원
143,토이온,"4,145만원",62.8억원
144,메이비원,"2,985만원",86.4억원
145,씨제이파워캐스트,"2,684만원",2839.3억원
146,프뢰벨하우스,"2,832만원",198.6억원
147,디스트릭트코리아,회사없음,회사없음
148,바이널아이,"5,104만원",89억원
149,타라그래픽스,"2,185만원",234억원
150,유니북스,회사없음,회사없음
151,오로라월드,"4,355만원",1199.4억원
152,성우애드컴,"2,016만원",106.9억원
153,아이디어키,"3,152만원",121.5억원
154,이피피엔,"3,416만원",21.5억원
155,퍼니플럭스엔터테인먼트,"4,534만원",179.8억원
156,스마일코리아,"3,500만원",81.8억원
157,한샘이유지,"4,232만원",107.3억원
158,클렉스,회사없음,회사없음
159,트레져헌터,"3,577만원",253.5억원
160,에이클라엔터테인먼트,"4,421만원",946.9억원
161,넥서스,"3,757만원",71.2억원
162,롯데컬처웍스,"2,039만원",2180.1억원
163,엠얼라이언스,회사없음1,회사없음1
164,로이비쥬얼,수집 중..,103.2억원
165,제이콘텐트리,"6,138만원",733.8억원
166,브이에이스튜디오,회사없음,회사없음
167,포스트비쥬얼,"3,613만원",105.8억원
168,다츠,회사없음,회사없음
169,테라핀,"3,782만원",회사없음1
170,비책,"4,028만원",33.9억원
171,위즈덤하우스,"5,003만원",377.1억원
172,이인벤션,"3,109만원",190억원
173,피엠지인티그레이티드 커뮤니케이션즈,"4,494만원",90.6억원
174,더피알커뮤니케이션,"4,807만원",271.6억원
175,콜레오마케팅그룹,"3,571만원",51.1억원
176,매니아컨설팅그룹,"1,879만원",40.1억원
177,한국디자인진흥원,"5,995만원",498.4억원
178,이너스커뮤니티,"4,045만원",72.7억원
179,레드로버,"2,399만원",71.1억원
180,프로그레스미디어,"2,414만원",330억원
181,제이티앤미디어,"5,315만원",120.3억원
182,온커뮤니케이션,"1,799만원",11.3억원
183,가우리커뮤니케이션,"4,035만원",16.9억원
184,애드미션,"3,837만원",82.1억원
185,아주뉴스코퍼레이션,"4,558만원",254억원
186,디지털퍼스트,"4,706만원",125.6억원
187,웹스프레드,"3,717만원",47.4억원
188,씨비에스,회사없음,회사없음
189,허밍아이엠씨,"4,422만원",72.7억원
190,빅픽처팀,"3,648만원",94.2억원
191,그랑몬스터,"4,853만원",219.9억원
192,오길비코리아,회사없음,회사없음
193,장원교육,"4,107만원",355.9억원
194,하바스코리아,회사없음,회사없음
195,디디비코리아,"5,636만원",510.2억원
196,오쏘엔 나비컴,"3,751만원",61.5억원
197,위인크,"3,079만원",356.4억원
198,비브스튜디오스,"4,733만원",92.3억원
199,티엠씨케이,"3,221만원",88.1억원
200,국립박물관문화재단,"5,661만원",125.9억원
201,빅밴드앤코,"4,349만원",68.2억원
202,아이엠애드리퍼블릭,"4,969만원",178.1억원
203,에스비에스미디어넷,"6,032만원",1645.6억원
204,차이,회사없음,회사없음
205,투와이드컴퍼니,"3,502만원",93.6억원
206,아시아투데이,"4,420만원",220.8억원
207,허브넷굿컴퍼니닷컴,"3,828만원",146.1억원
