,cmp,0,1,2,3,4
0,국민건강보험공단,0.0,0.0,0.0,0.0,0.9995720982551575
1,근로복지공단,0.0,0.0,0.0,0.0,0.9994919300079346
2,새마을금고,0.687589168548584,0.027012187987565994,0.0,0.0,0.2850993573665619
3,농협은행(주),0.18134257197380066,0.0,0.0,0.0,0.8128493428230286
4,현대카드(주),0.0,0.9991594552993774,0.0,0.0,0.0
5,중소기업은행,0.0,0.01257152110338211,0.0406518429517746,0.0,0.9462422132492065
6,국민연금공단,0.0,0.0,0.0,0.0,0.9993146657943726
7,현대캐피탈(주),0.0,0.9985353946685791,0.0,0.0,0.0
8,국민은행(주),0.4926877021789551,0.0,0.021985169500112534,0.06867004930973053,0.41642096638679504
9,삼성생명보험(주),0.9983805418014526,0.0,0.0,0.0,0.0
10,신한은행(주),0.26541242003440857,0.0,0.0,0.0,0.7335964441299438
11,우리은행(주),0.5021734237670898,0.0,0.0,0.16880902647972107,0.32073670625686646
12,신용보증기금,0.0,0.0,0.0,0.0,0.9979109764099121
13,한화생명보험(주),0.4937630593776703,0.0980972871184349,0.3997935354709625,0.0,0.0
14,한국스탠다드차타드은행(주),0.03890346363186836,0.0,0.0,0.6393579840660095,0.32055994868278503
15,하나은행(주),0.8926498889923096,0.0,0.0,0.08592740446329117,0.020110366865992546
16,삼성화재해상보험(주),0.8894726037979126,0.0,0.10846300423145294,0.0,0.0
17,DB손해보험(주),0.5352484583854675,0.0,0.0404449962079525,0.4108326733112335,0.012867080047726631
18,웰컴저축은행(주),0.9141612648963928,0.030344095081090927,0.0,0.031797658652067184,0.023430144414305687
19,메리츠화재해상보험(주),0.7709769010543823,0.21415042877197266,0.0,0.0,0.014245983213186264
20,교보생명보험(주),0.0324808731675148,0.0,0.0,0.966230571269989,0.0
21,롯데카드(주),0.0,0.7175635099411011,0.28074049949645996,0.0,0.0
22,(주)굿리치,0.4708191454410553,0.0,0.4791659414768219,0.049178943037986755,0.0
23,한국투자증권(주),0.5097832083702087,0.19403189420700073,0.03501826152205467,0.2552764415740967,0.0
24,한국산업은행,0.6649916768074036,0.0,0.0,0.0,0.3338443636894226
25,삼성카드(주),0.9942511916160583,0.0,0.0,0.0,0.0
26,한국자산관리공사,0.0,0.0,0.0,0.0,0.9979269504547119
27,비씨카드(주),0.8830104470252991,0.03759726136922836,0.035638805478811264,0.042892295867204666,0.0
28,홍콩상하이은행서울지점,0.0,0.3252054750919342,0.0,0.6705787777900696,0.0
29,키움증권(주),0.12248107045888901,0.2720643877983093,0.0,0.016610953956842422,0.5882696509361267
30,서울보증보험(주),0.10920169204473495,0.0,0.0,0.06263025104999542,0.8262644410133362
31,삼성증권(주),0.0,0.0,0.0,0.9950582981109619,0.0
32,농업협동조합중앙회,0.0,0.13771484792232513,0.14865581691265106,0.0,0.7124494910240173
33,삼성카드고객서비스(주),0.9337323307991028,0.06256821751594543,0.0,0.0,0.0
34,미래에셋대우(주),0.5459957718849182,0.4433509111404419,0.0,0.0,0.0
35,한국주택금융공사,0.0,0.0,0.0,0.0,0.997365415096283
36,삼성생명서비스손해사정(주),0.9953972697257996,0.0,0.0,0.0,0.0
37,케이비라이프생명보험(주),0.059736911207437515,0.0,0.937838613986969,0.0,0.0
38,한국은행,0.04152030870318413,0.0,0.014997501857578754,0.01105731911957264,0.9316883087158203
39,현대해상화재보험(주),0.6356831789016724,0.010944128036499023,0.016034623607993126,0.1293952912092209,0.20794275403022766
40,(주)케이비손해사정,0.16386882960796356,0.7780183553695679,0.0,0.0,0.0562659315764904
41,오케이저축은행(주),0.997625470161438,0.0,0.0,0.0,0.0
42,신한투자증권(주),0.057662222534418106,0.1946626454591751,0.07073716819286346,0.6764193773269653,0.0
43,대신증권(주),0.0,0.0,0.0,0.995395839214325,0.0
44,신한카드(주),0.02804865874350071,0.8822230696678162,0.0,0.0,0.08853976428508759
45,(재)한국장학재단,0.0,0.9239580631256104,0.0,0.0,0.07384835928678513
46,라이나생명보험(주),0.18312734365463257,0.631034791469574,0.17867691814899445,0.0,0.0
47,한국수출입은행,0.0,0.0,0.0,0.0,0.990775465965271
48,우체국금융개발원(재),0.6135108470916748,0.0,0.0,0.0,0.3847571313381195
49,모아저축은행(주),0.0,0.6673703193664551,0.0,0.3248572051525116,0.0
50,메트라이프생명보험(주),0.5895413756370544,0.0,0.0,0.4062477946281433,0.0
51,한국씨티은행(주),0.0,0.0,0.9967438578605652,0.0,0.0
52,현대커머셜(주),0.0,0.9942275285720825,0.0,0.0,0.0
53,현대하이라이프손해사정(주),0.9922419786453247,0.0,0.0,0.0,0.0
54,(주)에스비아이저축은행,0.6854758858680725,0.0,0.18603968620300293,0.12696674466133118,0.0
55,롯데손해보험(주),0.5801471471786499,0.0,0.0,0.4104122519493103,0.0
56,한화손해보험(주),0.1538257896900177,0.19735342264175415,0.16276471316814423,0.4848039150238037,0.0
57,기술보증기금,0.0,0.0,0.0,0.0,0.9966460466384888
58,한화손해사정(주),0.977448046207428,0.0,0.0,0.0,0.020544463768601418
59,악사손해보험(주),0.03537752106785774,0.36896470189094543,0.35265716910362244,0.24210524559020996,0.0
60,흥국생명보험(주),0.0,0.8608629107475281,0.13097311556339264,0.0,0.0
61,(주)다스카손해사정화재해상,0.9823527932167053,0.01644701138138771,0.0,0.0,0.0
62,하나증권(주),0.15312251448631287,0.02221415936946869,0.7600836157798767,0.06400921195745468,0.0
63,산와대부(주),0.9417707920074463,0.014548356644809246,0.014499260112643242,0.014540193602442741,0.014641386456787586
64,케이비국민카드(주),0.0,0.0482812263071537,0.0,0.949266254901886,0.0
65,공무원연금공단,0.31479397416114807,0.0,0.0,0.0,0.6812533140182495
66,에이원손해사정(주),0.19619400799274445,0.8016657829284668,0.0,0.0,0.0
67,케이비증권(주),0.05810677260160446,0.07252709567546844,0.7286036610603333,0.13987064361572266,0.0
68,유안타증권(주),0.5299739241600037,0.0,0.0,0.4167768359184265,0.043792933225631714
69,삼성화재애니카손해사정(주),0.7713080048561096,0.0,0.0,0.0,0.22368329763412476
70,로카모빌리티(주),0.3154872953891754,0.479149729013443,0.1953558325767517,0.0,0.0
71,하나캐피탈(주),0.44557633996009827,0.24733619391918182,0.22425197064876556,0.08188015967607498,0.0
72,신영증권(주),0.9949303865432739,0.0,0.0,0.0,0.0
73,(주)카카오뱅크,0.0,0.09099563956260681,0.9076828956604004,0.0,0.0
74,미래에셋증권(주),0.0,0.08969572931528091,0.0,0.7252776026725769,0.1821698695421219
75,대구은행(주),0.0,0.0,0.0,0.0,0.9949255585670471
76,케이비캐피탈(주),0.0,0.9961889982223511,0.0,0.0,0.0
77,한화투자증권(주),0.014987277798354626,0.0,0.0,0.9828187823295593,0.0
78,흥국화재해상보험(주),0.0,0.0,0.0,0.9948456287384033,0.0
79,미래에셋생명보험(주),0.0,0.0,0.0,0.9887032508850098,0.0
80,(주)카카오페이,0.24791701138019562,0.0,0.7504066824913025,0.0,0.0
81,경남은행(주),0.0,0.0,0.0,0.0,0.9726409316062927
82,인카금융서비스(주),0.7302337288856506,0.2659083902835846,0.0,0.0,0.0
83,수산업협동조합중앙회,0.023613139986991882,0.0,0.9733371734619141,0.0,0.0
84,(주)에즈금융서비스,0.7305512428283691,0.26645201444625854,0.0,0.0,0.0
85,부산은행(주),0.0,0.0,0.34395408630371094,0.0,0.6446499824523926
86,피플라이프(주),0.08865093439817429,0.9090508818626404,0.0,0.0,0.0
87,광주은행(주),0.0,0.0,0.0,0.0,0.9934781193733215
88,웰컴크레디라인대부(주),0.015694769099354744,0.015792325139045715,0.9368709325790405,0.015660839155316353,0.015981171280145645
89,고려신용정보(주),0.386850506067276,0.2922218143939972,0.0,0.078481525182724,0.2403249740600586
90,(주)한국투자저축은행,0.0,0.5848755240440369,0.15223820507526398,0.26053643226623535,0.0
91,엔에이치농협캐피탈(주),0.0,0.11342506855726242,0.8839519619941711,0.0,0.0
92,롯데캐피탈(주),0.0,0.2754952907562256,0.0,0.6867315769195557,0.03330012410879135
93,한국무역보험공사,0.0,0.7469553351402283,0.0,0.0,0.24553661048412323
94,(주)우리카드,0.0,0.0,0.9930388927459717,0.0,0.0
95,신용협동조합중앙회,0.0,0.0,0.44444605708122253,0.0,0.5518916845321655
96,신한생명보험(주),0.0,0.0,0.988113284111023,0.0,0.0
97,제이비우리캐피탈(주),0.21749022603034973,0.7771613597869873,0.0,0.0,0.0
98,케이디비생명보험(주),0.3422306776046753,0.0,0.6514175534248352,0.0,0.0
99,동양생명보험(주),0.0,0.2909533977508545,0.11944110691547394,0.5836489200592041,0.0
100,유진투자증권(주),0.4012213349342346,0.0,0.34977301955223083,0.24653834104537964,0.0
101,농협생명보험(주),0.9951337575912476,0.0,0.0,0.0,0.0
102,(주)에이플러스에셋어드바이저,0.0,0.0,0.9240452647209167,0.0,0.0717591717839241
103,제이티친애저축은행(주),0.0,0.0,0.0,0.993826150894165,0.0
104,아프로파이낸셜대부(주),0.0,0.7021501064300537,0.0,0.2853039503097534,0.0
105,예금보험공사,0.0,0.0,0.0,0.26077377796173096,0.7310187816619873
106,비엠더블유파이낸셜서비스코리아(주),0.0,0.7663925886154175,0.0,0.22842325270175934,0.0
107,프라임에셋(주),0.952642560005188,0.0,0.0,0.0,0.042883098125457764
108,에이비엘생명보험(주),0.0,0.0,0.6228698492050171,0.36632055044174194,0.0
109,메르세데스벤츠파이낸셜서비스코리아(주),0.0,0.16275456547737122,0.18893040716648102,0.6452236175537109,0.0
110,오릭스캐피탈코리아(주),0.0,0.0,0.15249527990818024,0.8454588055610657,0.0
111,(주)페퍼저축은행,0.0,0.0,0.7251157164573669,0.27302175760269165,0.0
112,신한저축은행(주),0.0,0.0,0.6961965560913086,0.2983498275279999,0.0
113,케이비생명보험(주),0.0,0.5313143730163574,0.46374982595443726,0.0,0.0
114,디비생명보험(주),0.0,0.0,0.0,0.9850867390632629,0.0
115,미쓰비시도쿄유에프제이은행서울지점(주),0.0,0.0,0.9800260663032532,0.0,0.0
116,한국벤처투자,0.24157048761844635,0.0,0.41371533274650574,0.020436370745301247,0.3224456310272217
117,에이아이지손해보험(주),0.0,0.0,0.0,0.9954710602760315,0.0
118,(주)핀크,0.0,0.0,0.9975196123123169,0.0,0.0
119,하나손해보험(주),0.0,0.0,0.8523439168930054,0.14438951015472412,0.0
120,디비씨에이에스손해사정(주),0.986367404460907,0.0,0.0,0.0,0.0
121,미래에셋자산운용(주),0.0,0.5635196566581726,0.41537317633628845,0.017047656700015068,0.0
122,현대차증권(주),0.0,0.0,0.0,0.9928668737411499,0.0
123,애큐온캐피탈(주),0.13007649779319763,0.8658676743507385,0.0,0.0,0.0
124,유화증권(주),0.5570446252822876,0.0,0.05188906565308571,0.3853449523448944,0.0
125,에스케이증권(주),0.0,0.0,0.9920454621315002,0.0,0.0
126,이베스트투자증권(주),0.0,0.0,0.9925788640975952,0.0,0.0
127,새마을금고중앙회,0.24377946555614471,0.43103212118148804,0.142074853181839,0.0,0.18184782564640045
128,아이비케이투자증권(주),0.0,0.0,0.0,0.9961188435554504,0.0
129,중국은행서울지점,0.0,0.0,0.0,0.34101319313049316,0.6557565927505493
130,한국외환은행(주),0.03448352590203285,0.03401114046573639,0.0340130440890789,0.03390457481145859,0.8635876774787903
131,(주)한국거래소,0.0,0.5557532906532288,0.0,0.0,0.44001439213752747
132,(주)한빛자산관리대부,0.995850682258606,0.0,0.0,0.0,0.0
133,전북은행(주),0.3355095088481903,0.5841588377952576,0.0,0.0,0.07538970559835434
134,농협손해보험(주),0.0,0.9884194135665894,0.0,0.0,0.0
135,한국예탁결제원,0.15779297053813934,0.0,0.0,0.0,0.8344959616661072
136,브이피(주),0.0,0.0,0.0,0.9758244156837463,0.0
137,건설근로자공제회,0.0,0.0,0.0,0.0,0.989359974861145
138,엠캐피탈(주),0.9906687140464783,0.0,0.0,0.0,0.0
139,한패스(주),0.0,0.8931768536567688,0.06521174311637878,0.04101138189435005,0.0
140,(주)바로크레디트대부,0.0,0.0,0.9706782698631287,0.0,0.0
141,(주)글로벌금융판매,0.0,0.0,0.0,0.9964404702186584,0.0
142,현대하이카손해사정(주),0.31798887252807617,0.0,0.0,0.0,0.6645024418830872
143,아이비케이캐피탈(주),0.0,0.0,0.0,0.8998216390609741,0.09389377385377884
144,다올투자증권(주),0.0,0.29267245531082153,0.12394849210977554,0.5806582570075989,0.0
145,한국예술인복지재단,0.0,0.21204452216625214,0.0,0.0,0.7852791547775269
