,company_name,turn_over_rate
0,씨제이씨지브이,(15%)
1,롯데시네마 ,(112%)
2,씨제이이앤엠,(102%)
3,웅진씽크빅,(43%)
4,문화방송,(15%)
5,제일기획,(14%)
6,한국방송공사,(15%)
7,메가박스중앙,(197%)
8,천재교육,(45%)
9,비상교육,(20%)
10,이엠넷,(27%)
11,교원구몬,(112%)
12,에코마케팅,(50%)
13,엠포스,(100%)
14,시대고시기획시대교육,(31%)
15,에이엠피엠글로벌,(78%)
16,펑타이그레이터차이나영업소,(43%)
17,에스엠엔터테인먼트,(33%)
18,에스비에스,(16%)
19,미디어윌,(39%)
20,피알원,(39%)
21,프레인글로벌,(39%)
22,대학내일,(19%)
23,한국교육방송공사,(15%)
24,플레이디,(26%)
25,애드쿠아인터렉티브,(53%)
26,차이커뮤니케이션,(39%)
27,이노션,(358%)
28,재능교육,(30%)
29,천재교과서,(32%)
30,소셜엠씨,(138%)
31,엣지랭크,(71%)
32,아메바,정보없음.
33,매스씨앤지,(57%)
34,대홍기획,(39%)
35,케이피알앤드어소시에이츠,(43%)
36,인크로스,(32%)
37,디노마드,(89%)
38,미래아이엔씨,(33%)
39,나스미디어,(25%)
40,NE능률,(18%)
41,와이지엔터테인먼트,(28%)
42,에이치에스애드,(133%)
43,제이티비씨,(28%)
44,중앙일보,(39%)
45,아이스크림에듀,(43%)
46,매일경제신문사,(25%)
47,조선일보사,(20%)
48,에이피알에이전시,(35%)
49,킨코스코리아,(36%)
50,서울문화재단,(25%)
51,부산국제영화제,(114%)
52,인터스텔라,(83%)
53,그룹엠코리아,(37%)
54,예지솔루션,(700%)
55,레오버넷,(24%)
56,디트라이브,(71%)
57,트리플하이엠,(244%)
58,메조미디어,(21%)
59,잉글리시에그,(52%)
60,미래엔,(15%)
61,피키캐스트,(120%)
62,이브릿지,(90%)
63,안그라픽스,(49%)
64,케이비에스미디어,(22%)
65,아이유노글로벌,(25%)
66,채널에이,(19%)
67,금성출판사,(21%)
68,모비데이즈,정보없음.
69,코마스인터렉티브,(56%)
70,위블링,(82%)
71,와이티엔,(9%)
72,마더브레인,(45%)
73,세종씨앤피,(54%)
74,메이크어스,(56%)
75,디자인피버,(49%)
76,클콩,정보없음.
77,로커스,(77%)
78,한국학술정보,(44%)
79,덱스터스튜디오,(25%)
80,하이브,(24%)
81,지엔앰퍼포먼스,(61%)
82,레드브릭스,(99%)
83,에델만퍼블릭릴레이션스월드와이드코리아,(72%)
84,체험,(149%)
85,비비디오코리아,(66%)
86,레뷰코퍼레이션,(22%)
87,디지털트리니티,(45%)
88,아이코닉스,(280%)
89,레인보우커뮤니케이션,(33%)
90,국제방송교류재단,(21%)
91,현대퓨처넷,(19%)
92,디자인하우스,(35%)
93,더북컴퍼니,(42%)
94,엠비씨플러스,(19%)
95,디엠씨미디어,(26%)
96,자이언트스텝,(29%)
97,제이와이피엔터테인먼트,(13%)
98,해법에듀,(32%)
99,북이십일,(18%)
100,에스비에스콘텐츠허브,(26%)
101,성원애드피아,(26%)
102,한국경제티브이,(19%)
103,동아일보사,(12%)
104,엠디마케팅,(38%)
105,이든앤앨리스마케팅,(44%)
106,한국우편사업진흥원,(20%)
107,씨엠비대전방송,(7%)
108,에스에이엠지엔터테인먼트,(21%)
109,그룹아이디디,(125%)
110,시너지힐앤놀튼,(31%)
111,투바앤,(107%)
112,카카오엠,(106%)
113,금솔커뮤니케이션,(83%)
114,상록에스,(24%)
115,에델만코리아,(72%)
116,서울비젼,(34%)
117,한국경제신문,(12%)
118,서울문화사,(51%)
119,아인스미디어,(39%)
120,티비더블유에이코리아,(21%)
121,매일방송,(14%)
122,레페리,(49%)
123,한국산업기술진흥협회,(88%)
124,동아사이언스,(47%)
125,이노브,(57%)
126,세종문화회관,(17%)
127,승일미디어그룹,(134%)
128,예술의전당,(18%)
129,교학사,(86%)
130,지학사,(19%)
131,지우컴퍼니,(100%)
132,키스톤마케팅컴퍼니,(46%)
133,상화,(28%)
134,예림당,(14%)
135,와이비엠,(23%)
136,동심,(67%)
137,바른컴퍼니,(20%)
138,양유,(12%)
139,삼성출판사,(38%)
140,머니투데이,(14%)
141,비욘드마케팅그룹,(8%)
142,모티브플럭스인터렉티브,(41%)
143,토이온,(263%)
144,메이비원,(41%)
145,씨제이파워캐스트,(118%)
146,프뢰벨하우스,(67%)
147,디스트릭트코리아,(19%)
148,바이널아이,(43%)
149,타라그래픽스,(121%)
150,유니북스,(98%)
151,오로라월드,(28%)
152,성우애드컴,(146%)
153,아이디어키,(66%)
154,이피피엔,(132%)
155,퍼니플럭스엔터테인먼트,(23%)
156,스마일코리아,(93%)
157,한샘이유지,(15%)
158,클렉스,정보없음.
159,트레져헌터,(61%)
160,에이클라엔터테인먼트,(80%)
161,넥서스,(40%)
162,롯데컬처웍스,(132%)
163,엠얼라이언스,(217%)
164,로이비쥬얼,(28%)
165,제이콘텐트리,(30%)
166,브이에이스튜디오,(146%)
167,포스트비쥬얼,(126%)
168,다츠,정보없음.
169,테라핀,(77%)
170,비책,(59%)
171,위즈덤하우스,(22%)
172,이인벤션,(42%)
173,피엠지인티그레이티드 커뮤니케이션즈,(25%)
174,더피알커뮤니케이션,(34%)
175,콜레오마케팅그룹,(44%)
176,매니아컨설팅그룹,(125%)
177,한국디자인진흥원,(26%)
178,이너스커뮤니티,(55%)
179,레드로버,(9999%)
180,프로그레스미디어,(108%)
181,제이티앤미디어,(4%)
182,온커뮤니케이션,(31%)
183,가우리커뮤니케이션,(73%)
184,애드미션,(58%)
185,아주뉴스코퍼레이션,(38%)
186,디지털퍼스트,(53%)
187,웹스프레드,(49%)
188,씨비에스,(33%)
189,허밍아이엠씨,(46%)
190,빅픽처팀,(67%)
191,그랑몬스터,(36%)
192,오길비코리아,(14%)
193,장원교육,(14%)
194,하바스코리아,(66%)
195,디디비코리아,(39%)
196,오쏘엔 나비컴,(54%)
197,위인크,(51%)
198,비브스튜디오스,(27%)
199,티엠씨케이,(48%)
200,국립박물관문화재단,(142%)
201,빅밴드앤코,(47%)
202,아이엠애드리퍼블릭,(90%)
203,에스비에스미디어넷,(19%)
204,차이,(45%)
205,투와이드컴퍼니,(56%)
206,아시아투데이,(20%)
207,허브넷굿컴퍼니닷컴,(38%)
